index	code_name	code_normal	sets_normal	sets_exceptional	sets_elite	uniques_normal	uniques_exceptional	uniques_elite
72	cbw	bow/composite_bow						
73	sbb	bow/short_battle_bow						
74	lbb	bow/long_battle_bow						
75	swb	bow/short_war_bow						
76	lwb	bow/long_war_bow						
77	lxb	bow/light_crossbow						
78	mxb	bow/crossbow						
79	hxb	bow/heavy_crossbow						
80	rxb	bow/repeating_crossbow						
81	gps	potion/rancid_gas_potion						
82	ops	potion/oil_potion						
83	gpm	potion/choking_gas_potion						
84	opm	potion/exploding_potion						
85	gpl	potion/strangling_gas_potion						
86	opl	potion/fulminating_potion						
87	d33	knife/decoy_dagger						
88	g33	knife/gidbinn						
89	leg	club/wirts_leg						
90	hdm	hammer/horadric_malus						
91	hfh	hammer/hellforge_hammer						
92	hst	staff/horadric_staff						
93	msf	staff/staff_of_the_kings						
94	9ha	axe/hand_axe						
95	9ax	axe/axe						
96	92a	axe/double_axe						
97	9mp	axe/military_pick						
98	9wa	axe/war_axe						
99	9la	axe/large_axe						
100	9ba	axe/broad_axe						
101	9bt	axe/battle_axe						
102	9ga	axe/great_axe						
103	9gi	axe/giant_axe						
104	9wn	wand/wand						
105	9yw	wand/yew_wand						
106	9bw	wand/bone_wand						
107	9gw	wand/grim_wand						
108	9cl	club/club						
109	9sc	scepter/scepter						
110	9qs	scepter/grand_scepter						
111	9ws	scepter/war_scepter						
112	9sp	club/spiked_club						
113	9ma	mace/mace						
114	9mt	mace/morning_star						
115	9fl	mace/flail						
116	9wh	hammer/war_hammer						
117	9m9	hammer/maul						
118	9gm	hammer/great_maul						
119	9ss	sword/short_sword						
120	9sm	sword/scimitar						
121	9sb	sword/saber						
122	9fc	sword/falchion						
123	9cr	sword/crystal_sword						
124	9bs	sword/broad_sword						
125	9ls	sword/long_sword						
126	9wd	sword/war_sword						
127	92h	sword/two_handed_sword						
128	9cm	sword/claymore						
129	9gs	sword/giant_sword						
130	9b9	sword/bastard_sword						
131	9fb	sword/flamberge						
132	9gd	sword/great_sword						
133	9dg	knife/dagger						
134	9di	knife/dirk						
135	9kr	knife/kriss						
136	9bl	knife/blade						
137	9tk	knife/throwing_knife						
138	9ta	axe/throwing_axe						
139	9bk	knife/balanced_knife						
140	9b8	axe/balanced_axe						
141	9ja	javelin/javelin						
142	9pi	javelin/pilum						
143	9s9	javelin/short_spear						
144	9gl	javelin/glaive						
145	9ts	javelin/throwing_spear						
146	9sr	spear/spear						
147	9tr	spear/trident						
148	9br	spear/brandistock						
149	9st	spear/spetum						
150	9p9	spear/pike						
151	9b7	polearm/bardiche						
152	9vo	polearm/voulge						
153	9s8	polearm/scythe						
154	9pa	polearm/poleaxe						
155	9h9	polearm/halberd						
156	9wc	polearm/war_scythe						
157	8ss	staff/short_staff						
158	8ls	staff/long_staff						
159	8cs	staff/gnarled_staff						
160	8bs	staff/battle_staff						
161	8ws	staff/war_staff						
162	8sb	bow/short_bow						
163	8hb	bow/hunters_bow						
164	8lb	bow/long_bow						
165	8cb	bow/composite_bow						
166	8s8	bow/short_battle_bow						
167	8l8	bow/long_battle_bow						
168	8sw	bow/short_war_bow						
169	8lw	bow/long_war_bow						
170	8lx	bow/light_crossbow						
171	8mx	bow/crossbow						
172	8hx	bow/heavy_crossbow						
173	8rx	bow/repeating_crossbow						
174	qf1	mace/khalim_flail						
175	qf2	mace/super_khalim_flail						
176	ktr	h2h/katar						
177	wrb	h2h/katar						
178	axf	h2h/hatchet_hands						
179	ces	h2h/hatchet_hands						
180	clw	h2h/claws						
181	btl	h2h/claws						
182	skr	h2h/scissors_katar						
183	9ar	h2h/katar						
184	9wb	h2h/katar						
185	9xf	h2h/hatchet_hands						
186	9cs	h2h/hatchet_hands						
187	9lw	h2h/claws						
188	9tw	h2h/claws						
189	9qr	h2h/scissors_katar						
190	7ar	h2h/katar						
191	7wb	h2h/katar						
192	7xf	h2h/hatchet_hands						
193	7cs	h2h/hatchet_hands						
194	7lw	h2h/claws						
195	7tw	h2h/claws						
196	7qr	h2h/scissors_katar						
197	7ha	axe/hand_axe						
198	7ax	axe/axe						
199	72a	axe/double_axe						
200	7mp	axe/military_pick						
201	7wa	axe/war_axe						
202	7la	axe/large_axe						
203	7ba	axe/broad_axe						
204	7bt	axe/battle_axe						
205	7ga	axe/great_axe						
206	7gi	axe/giant_axe						
207	7wn	wand/wand						
208	7yw	wand/yew_wand						
209	7bw	wand/bone_wand						
210	7gw	wand/grim_wand						
211	7cl	club/club						
212	7sc	scepter/scepter						
213	7qs	scepter/grand_scepter						
214	7ws	scepter/war_scepter						
215	7sp	club/spiked_club						
216	7ma	mace/mace						
217	7mt	mace/morning_star						
218	7fl	mace/flail						
219	7wh	hammer/war_hammer						
220	7m7	hammer/maul						
221	7gm	hammer/great_maul						
222	7ss	sword/short_sword						
223	7sm	sword/scimitar						
224	7sb	sword/saber						
225	7fc	sword/falchion						
226	7cr	sword/crystal_sword						
227	7bs	sword/broad_sword						
228	7ls	sword/long_sword						
229	7wd	sword/war_sword						
230	72h	sword/two_handed_sword						
231	7cm	sword/claymore						
232	7gs	sword/giant_sword						
233	7b7	sword/bastard_sword						
234	7fb	sword/flamberge						
235	7gd	sword/great_sword						
236	7dg	knife/dagger						
237	7di	knife/dirk						
238	7kr	knife/kriss						
239	7bl	knife/blade						
240	7tk	knife/throwing_knife						
241	7ta	axe/throwing_axe						
242	7bk	knife/balanced_knife						
243	7b8	axe/balanced_axe						
244	7ja	javelin/javelin						
245	7pi	javelin/pilum						
246	7s7	javelin/short_spear						
247	7gl	javelin/glaive						
248	7ts	javelin/throwing_spear						
249	7sr	spear/spear						
250	7tr	spear/trident						
251	7br	spear/brandistock						
252	7st	spear/spetum						
253	7p7	spear/pike						
254	7o7	polearm/bardiche						
255	7vo	polearm/voulge						
256	7s8	polearm/scythe						
257	7pa	polearm/poleaxe						
258	7h7	polearm/halberd						
259	7wc	polearm/war_scythe						
260	6ss	staff/short_staff						
261	6ls	staff/long_staff						
262	6cs	staff/gnarled_staff						
263	6bs	staff/battle_staff						
264	6ws	staff/war_staff						
265	6sb	bow/short_bow						
266	6hb	bow/hunters_bow						
267	6lb	bow/long_bow						
268	6cb	bow/composite_bow						
269	6s7	bow/short_battle_bow						
270	6l7	bow/long_battle_bow						
271	6sw	bow/short_war_bow						
272	6lw	bow/long_war_bow						
273	6lx	bow/light_crossbow						
274	6mx	bow/crossbow						
275	6hx	bow/heavy_crossbow						
276	6rx	bow/repeating_crossbow						
277	ob1	orb/eagle_orb						
278	ob2	orb/sacred_globe						
279	ob3	orb/smoked_sphere						
280	ob4	orb/clasped_orb						
281	ob5	orb/dragon_stone						
282	am1	bow/stag_bow						
283	am2	bow/reflex_bow						
284	am3	spear/maiden_spear						
285	am4	spear/maiden_pike						
286	am5	javelin/maiden_javelin						
287	ob6	orb/eagle_orb						
288	ob7	orb/sacred_globe						
289	ob8	orb/smoked_sphere						
290	ob9	orb/clasped_orb						
291	oba	orb/dragon_stone						
292	am6	bow/stag_bow						
293	am7	bow/reflex_bow						
294	am8	spear/maiden_spear						
295	am9	spear/maiden_pike						
296	ama	javelin/maiden_javelin						
297	obb	orb/eagle_orb						
298	obc	orb/sacred_globe						
299	obd	orb/smoked_sphere						
300	obe	orb/clasped_orb						
301	obf	orb/dragon_stone						
302	amb	bow/stag_bow						
303	amc	bow/reflex_bow						
304	amd	spear/maiden_spear						
305	ame	spear/maiden_pike						
306	amf	javelin/maiden_javelin						
307	cap	helmet/cap_hat						
308	skp	helmet/skull_cap						
309	hlm	helmet/helm						
310	fhl	helmet/full_helm						
311	ghm	helmet/great_helm						
312	crn	helmet/crown						
313	msk	helmet/mask						
314	qui	armor/quilted_armor						
315	lea	armor/leather_armor						
316	hla	armor/hard_leather_armor						
317	stu	armor/studded_leather						
318	rng	armor/ring_mail						
319	scl	armor/scale_mail						
320	chn	armor/chain_mail						
321	brs	armor/breast_plate						
322	spl	armor/splint_mail						
323	plt	armor/plate_mail						
324	fld	armor/field_plate						
325	gth	armor/gothic_plate						
326	ful	armor/full_plate_mail						
327	aar	armor/ancient_armor						
328	ltp	armor/light_plate						
329	buc	shield/buckler						
330	sml	shield/small_shield						
331	lrg	shield/large_shield						
332	kit	shield/kite_shield						
333	tow	shield/tower_shield						
334	gts	shield/gothic_shield						
335	lgl	glove/gloves_l						
336	vgl	glove/heavy_gloves						
337	mgl	glove/bracers_m						
338	tgl	glove/light_gauntlets						
339	hgl	glove/gaunlets_h						
340	lbt	boot/leather_boots						
341	vbt	boot/heavy_boots						
342	mbt	boot/chain_boots						
343	tbt	boot/light_plate_boots						
344	hbt	boot/plate_boots						
345	lbl	belt/sash_l						
346	vbl	belt/light_belt						
347	mbl	belt/belt_m						
348	tbl	belt/heavy_belt						
349	hbl	belt/girdle_h						
350	bhm	helmet/bone_helm						
351	bsh	shield/bone_shield						
352	spk	shield/spiked_shield						
353	xap	helmet/cap_hat						
354	xkp	helmet/skull_cap						
355	xlm	helmet/helm						
356	xhl	helmet/full_helm						
357	xhm	helmet/great_helm						
358	xrn	helmet/crown						
359	xsk	helmet/mask						
360	xui	armor/quilted_armor						
361	xea	armor/leather_armor						
362	xla	armor/hard_leather_armor						
363	xtu	armor/studded_leather						
364	xng	armor/ring_mail						
365	xcl	armor/scale_mail						
366	xhn	armor/chain_mail						
367	xrs	armor/breast_plate						
368	xpl	armor/splint_mail						
369	xlt	armor/plate_mail						
370	xld	armor/field_plate						
371	xth	armor/gothic_plate						
372	xul	armor/full_plate_mail						
373	xar	armor/ancient_armor						
374	xtp	armor/light_plate						
375	xuc	shield/buckler						
376	xml	shield/small_shield						
377	xrg	shield/large_shield						
378	xit	shield/kite_shield						
379	xow	shield/tower_shield						
380	xts	shield/gothic_shield						
381	xlg	glove/gloves_l						
382	xvg	glove/heavy_gloves						
383	xmg	glove/bracers_m						
384	xtg	glove/light_gauntlets						
385	xhg	glove/gaunlets_h						
386	xlb	boot/leather_boots						
387	xvb	boot/heavy_boots						
388	xmb	boot/chain_boots						
389	xtb	boot/light_plate_boots						
390	xhb	boot/plate_boots						
391	zlb	belt/sash_l						
392	zvb	belt/light_belt						
393	zmb	belt/belt_m						
394	ztb	belt/heavy_belt						
395	zhb	belt/girdle_h						
396	xh9	helmet/bone_helm						
397	xsh	shield/bone_shield						
398	xpk	shield/spiked_shield						
399	dr1	pelt/wolf_head						
400	dr2	pelt/hawk_helm						
401	dr3	pelt/antlers						
402	dr4	pelt/falcon_mask						
403	dr5	pelt/spirit_mask						
404	ba1	helmet/jawbone_cap						
405	ba2	helmet/fanged_helm						
406	ba3	helmet/horned_helm						
407	ba4	helmet/assault_helmet						
408	ba5	helmet/avenger_guard						
409	pa1	shield/targe						
410	pa2	shield/rondache						
411	pa3	shield/heraldic_shield						
412	pa4	shield/aerin_shield						
413	pa5	shield/crown_shield						
414	ne1	voodoo_head/preserved_head						
415	ne2	voodoo_head/zombie_head						
416	ne3	voodoo_head/unraveller_head						
417	ne4	voodoo_head/gargoyle_head						
418	ne5	voodoo_head/demon_head						
419	ci0	circlet/circlet						
420	ci1	circlet/coronet						
421	ci2	circlet/tiara						
422	ci3	circlet/diadem						
423	uap	helmet/cap_hat						
424	ukp	helmet/skull_cap						
425	ulm	helmet/helm						
426	uhl	helmet/full_helm						
427	uhm	helmet/great_helm						
428	urn	helmet/crown						
429	usk	helmet/mask						
430	uui	armor/quilted_armor						
431	uea	armor/leather_armor						
432	ula	armor/hard_leather_armor						
433	utu	armor/studded_leather						
434	ung	armor/ring_mail						
435	ucl	armor/scale_mail						
436	uhn	armor/chain_mail						
437	urs	armor/breast_plate						
438	upl	armor/splint_mail						
439	ult	armor/plate_mail						
440	uld	armor/field_plate						
441	uth	armor/gothic_plate						
442	uul	armor/full_plate_mail						
443	uar	armor/ancient_armor						
444	utp	armor/light_plate						
445	uuc	shield/buckler						
446	uml	shield/small_shield						
447	urg	shield/large_shield						
448	uit	shield/kite_shield						
449	uow	shield/tower_shield						
450	uts	shield/gothic_shield						
451	ulg	glove/gloves_l						
452	uvg	glove/heavy_gloves						
453	umg	glove/bracers_m						
454	utg	glove/light_gauntlets						
455	uhg	glove/gaunlets_h						
456	ulb	boot/leather_boots						
457	uvb	boot/heavy_boots						
458	umb	boot/chain_boots						
459	utb	boot/light_plate_boots						
460	uhb	boot/plate_boots						
461	ulc	belt/sash_l						
462	uvc	belt/light_belt						
463	umc	belt/belt_m						
464	utc	belt/heavy_belt						
465	uhc	belt/girdle_h						
466	uh9	helmet/bone_helm						
467	ush	shield/bone_shield						
468	upk	shield/spiked_shield						
469	dr6	pelt/wolf_head						
470	dr7	pelt/hawk_helm						
471	dr8	pelt/antlers						
472	dr9	pelt/falcon_mask						
473	dra	pelt/spirit_mask						
474	ba6	helmet/jawbone_cap						
475	ba7	helmet/fanged_helm						
476	ba8	helmet/horned_helm						
477	ba9	helmet/assault_helmet						
478	baa	helmet/avenger_guard						
479	pa6	shield/targe						
480	pa7	shield/rondache						
481	pa8	shield/heraldic_shield						
482	pa9	shield/aerin_shield						
483	paa	shield/crown_shield						
484	ne6	voodoo_head/preserved_head						
485	ne7	voodoo_head/zombie_head						
486	ne8	voodoo_head/unraveller_head						
487	ne9	voodoo_head/gargoyle_head						
488	nea	voodoo_head/demon_head						
489	drb	pelt/wolf_head						
490	drc	pelt/hawk_helm						
491	drd	pelt/antlers						
492	dre	pelt/falcon_mask						
493	drf	pelt/spirit_mask						
494	bab	helmet/jawbone_cap						
495	bac	helmet/fanged_helm						
496	bad	helmet/horned_helm						
497	bae	helmet/assault_helmet						
498	baf	helmet/avenger_guard						
499	pab	shield/targe						
500	pac	shield/rondache						
501	pad	shield/heraldic_shield						
502	pae	shield/aerin_shield						
503	paf	shield/crown_shield						
504	neb	voodoo_head/preserved_head						
505	neg	voodoo_head/zombie_head						
506	ned	voodoo_head/unraveller_head						
507	nee	voodoo_head/gargoyle_head						
508	nef	voodoo_head/demon_head						
509	elx	potion/elixir						
510	hpo	potion/healing_potion						
511	mpo	potion/mana_potion						
512	hpf	potion/full_healing_potion						
513	mpf	potion/full_mana_potion						
514	vps	potion/stamina_potion						
515	yps	potion/antidote_potion						
516	rvs	potion/rejuv_potion						
517	rvl	potion/full_rejuv_potion						
518	wms	potion/thawing_potion						
519	tbk	book/town_portal_book						
520	ibk	book/identify_book						
521	amu	amulet/amulet						
522	vip	amulet/viper_amulet						
523	rin	ring/ring						
524	gld	gold/gold						
525	bks	quest/bark_scroll						
526	bkd	scroll/deciphered_bark_scroll						
527	aqv	quiver/arrows						
528	z01	quiver/arrows						
529	tch	torch/torch						
530	cqv	quiver/bolts						
531	z02	quiver/bolts						
532	tsc	scroll/town_portal_scroll						
533	isc	scroll/identify_scroll						
534	hrt	body_part/heart						
535	brz	body_part/brain						
536	jaw	body_part/jawbone						
537	eyz	body_part/eye						
538	hrn	body_part/horn						
539	tal	body_part/tail						
540	flg	body_part/flag						
541	fng	body_part/fang						
542	qll	body_part/quill						
543	sol	body_part/soul						
544	scz	scepter/scepter						
545	spe	body_part/soul						
546	key	key/skeleton_key						
547	luv	key/mephisto_key						
548	xyz	quest/scroll_of_self_resurrect						
549	j34	quest/jade_figurine						
550	g34	quest/gold_bird						
551	bbb	quest/lam_esens_tome						
552	box	quest/horadric_cube						
553	tr1	quest/scroll_of_horadric_quest_info						
554	mss	quest/mephisto_soul_stone						
555	ass	quest/book_of_skill						
556	qey	body_part/eye						
557	qhr	body_part/heart						
558	qbr	body_part/brain						
559	ear	body_part/player_ear						
560	tkg	grabbers/terror_key_grabber						
561	hkg	grabbers/hate_key_grabber						
562	dkg	grabbers/destruction_key_grabber						
563	gcv	gem/chipped_amethyst						
564	gfv	gem/flawed_amethyst						
565	gsv	gem/amethyst						
566	gzv	gem/flawless_amethyst						
567	gpv	gem/perfect_amethyst						
568	gcy	gem/chipped_topaz						
569	gfy	gem/flawed_topaz						
570	gsy	gem/topaz						
571	gly	gem/flawless_topaz						
572	gpy	gem/perfect_topaz						
573	gcb	gem/chipped_saphire						
574	gfb	gem/flawed_saphire						
575	gsb	gem/saphire						
576	glb	gem/flawless_saphire						
577	gpb	gem/perfect_saphire						
578	gcg	gem/chipped_emerald						
579	gfg	gem/flawed_emerald						
580	gsg	gem/emerald						
581	glg	gem/flawless_emerald						
582	gpg	gem/perfect_emerald						
583	gcr	gem/chipped_ruby						
584	gfr	gem/flawed_ruby						
585	gsr	gem/ruby						
586	glr	gem/flawless_ruby						
587	gpr	gem/perfect_ruby						
588	gcw	gem/chipped_diamond						
589	gfw	gem/flawed_diamond						
590	gsw	gem/diamond						
591	glw	gem/flawless_diamond						
592	gpw	gem/perfect_diamond						
593	skc	gem/chipped_skull						
594	skf	gem/flawed_skull						
595	sku	gem/skull						
596	skl	gem/flawless_skull						
597	skz	gem/perfect_skull						
598	hp1	potion/lesser_healing_potion						
599	hp2	potion/light_healing_potion						
600	hp3	potion/healing_potion2						
601	hp4	potion/strong_healing_potion						
602	hp5	potion/greater_healing_potion						
603	mp1	potion/lesser_mana_potion						
604	mp2	potion/light_mana_potion						
605	mp3	potion/mana_potion2						
606	mp4	potion/strong_mana_potion						
607	mp5	potion/greater_mana_potion						
608	hrb	herb/herb						
609	cm1	charm/charm_small						
610	cm2	charm/charm_medium						
611	cm3	charm/charm_large						
612	cm4	charm/charm_small						
613	cm5	charm/charm_small						
614	cm6	charm/charm_large						
615	cm7	charm/charm_medium						
616	cm8	charm/charm_large						
617	cm9	charm/charm_large						
618	rps	potion/healing_potion						
619	rpl	potion/full_healing_potion						
620	bps	potion/mana_potion						
621	bpl	potion/full_mana_potion						
622	r01	rune/el_rune						
623	s01	rune/el_rune_stacked						
624	r02	rune/eld_rune						
625	s02	rune/eld_rune_stacked						
626	r03	rune/tir_rune						
627	s03	rune/tir_rune_stacked						
628	r04	rune/nef_rune						
629	s04	rune/nef_rune_stacked						
630	r05	rune/eth_rune						
631	s05	rune/eth_rune_stacked						
632	r06	rune/ith_rune						
633	s06	rune/ith_rune_stacked						
634	r07	rune/tal_rune						
635	s07	rune/tal_rune_stacked						
636	r08	rune/ral_rune						
637	s08	rune/ral_rune_stacked						
638	r09	rune/ort_rune						
639	s09	rune/ort_rune_stacked						
640	r10	rune/thul_rune						
641	s10	rune/thul_rune_stacked						
642	r11	rune/amn_rune						
643	s11	rune/amn_rune_stacked						
644	r12	rune/sol_rune						
645	s12	rune/sol_rune_stacked						
646	r13	rune/shael_rune						
647	s13	rune/shael_rune_stacked						
648	r14	rune/dol_rune						
649	s14	rune/dol_rune_stacked						
650	r15	rune/hel_rune						
651	s15	rune/hel_rune_stacked						
652	r16	rune/io_rune						
653	s16	rune/io_rune_stacked						
654	r17	rune/lum_rune						
655	s17	rune/lum_rune_stacked						
656	r18	rune/ko_rune						
657	s18	rune/ko_rune_stacked						
658	r19	rune/fal_rune						
659	s19	rune/fal_rune_stacked						
660	r20	rune/lem_rune						
661	s20	rune/lem_rune_stacked						
662	r21	rune/pul_rune						
663	s21	rune/pul_rune_stacked						
664	r22	rune/um_rune						
665	s22	rune/um_rune_stacked						
666	r23	rune/mal_rune						
667	s23	rune/mal_rune_stacked						
668	r24	rune/ist_rune						
669	s24	rune/ist_rune_stacked						
670	r25	rune/gul_rune						
671	s25	rune/gul_rune_stacked						
672	r26	rune/vex_rune						
673	s26	rune/vex_rune_stacked						
674	r27	rune/ohm_rune						
675	s27	rune/ohm_rune_stacked						
676	r28	rune/lo_rune						
677	s28	rune/lo_rune_stacked						
678	r29	rune/sur_rune						
679	s29	rune/sur_rune_stacked						
680	r30	rune/ber_rune						
681	s30	rune/ber_rune_stacked						
682	r31	rune/jah_rune						
683	s31	rune/jah_rune_stacked						
684	r32	rune/cham_rune						
685	s32	rune/cham_rune_stacked						
686	r33	rune/zod_rune						
687	s33	rune/zod_rune_stacked						
688	jew	gem/jewels						
689	ice	quest/scroll_of_self_resurrect						
690	0sc	scroll/identify_scroll						
691	tr2	quest/bark_scroll						
692	pk1	key/terror_key						
693	pk2	key/hate_key						
694	pk3	key/destruction_key						
695	kch	storage/storage1						
696	bag	storage/storage2						
697	stt	grabbers/grabber_tool						
698	dhn	body_part/fang						
699	bey	body_part/eye						
700	mbr	body_part/brain						
701	toa	quest/token_of_absolution						
702	tes	quest/twisted_essence_of_suffering						
703	ceh	quest/charged_essense_of_hatred						
704	bet	quest/burning_essence_of_terror						
705	fed	quest/festering_essence_of_destruction						
706	std	body_part/flag						
707	wa1	grimoires/oldbook						
708	wa2	grimoires/tome_book						
709	wa3	grimoires/codex						
710	wa4	grimoires/compendium						
711	wa5	grimoires/grimoire						
712	wa6	grimoires/oldbook						
713	wa7	grimoires/tome_book						
714	wa8	grimoires/codex						
715	wa9	grimoires/compendium						
716	waa	grimoires/grimoire						
717	wab	grimoires/oldbook						
718	wac	grimoires/tome_book						
719	wad	grimoires/codex						
720	wae	grimoires/compendium						
721	waf	grimoires/grimoire						
722	xa1	shard/mote_of_anguish						
723	xa2	shard/mote_of_pain						
724	xa3	shard/mote_of_hatred						
725	xa4	shard/mote_of_terror						
726	xa5	shard/mote_of_destruction						
727	ua1	shard/talics_anguish						
728	ua2	shard/korlics_pain						
729	ua3	shard/madawcs_ire						
730	ua4	shard/bulkathos_nightmare						
731	ua5	shard/worusks_end						
732	um1	body_part/fragment_cold						
733	um2	body_part/fragment_magic						
734	um3	body_part/fragment_lightning						
735	um4	body_part/fragment_fire						
736	um5	body_part/fragment_physical						
737	um6	body_part/fragment_poison						
738	cjw	gem/jewels						
739	cs2	charm/charm_large						
740	nrl	body_part/soul						
741	tws	body_part/spleen						
742	scs	body_part/spleen						
743	gmm	gem/perfect_amethyst						
744	1am	gem/perfect_amethyst_stack						
745	gmt	gem/perfect_topaz						
746	1tp	gem/perfect_topaz_stack						
747	gms	gem/perfect_saphire						
748	1sa	gem/perfect_saphire_stack						
749	gme	gem/perfect_emerald						
750	1em	gem/perfect_emerald_stack						
751	gmd	gem/perfect_diamond						
752	1di	gem/perfect_diamond_stack						
753	gmr	gem/perfect_ruby						
754	1rb	gem/perfect_ruby_stack						
755	gmk	gem/perfect_skull						
756	1sk	gem/perfect_skull_stack						
757	gmo	gem/perfect_chaos_onyx						
758	1so	gem/perfect_chaos_onyx_stack						
759	agr	grabbers/perfect_amethyst_grabber						
760	tgr	grabbers/perfect_topaz_grabber						
761	sgr	grabbers/perfect_sapphire_grabber						
762	egr	grabbers/perfect_emerald_grabber						
763	mgr	grabbers/perfect_diamond_grabber						
764	rgr	grabbers/perfect_ruby_grabber						
765	kgr	grabbers/perfect_skull_grabber						
766	ogr	grabbers/perfect_chaos_onyx_grabber						
767	ka3	powerorbs/orbofcorruption						
768	1ka	powerorbs/orbofcorruption_stacked						
769	oos	powerorbs/orbofsocketing						
770	1os	powerorbs/orbofsocketing_stacked						
771	ooc	powerorbs/orbofconversion						
772	1oc	powerorbs/orbofconversion_stacked						
773	ooa	powerorbs/orbofassemblage						
774	1oa	powerorbs/orbofassemblage_stacked						
775	ooi	powerorbs/orbofinfusion						
776	1oi	powerorbs/orbofinfusion_stacked						
777	ooe	powerorbs/orbofshadows						
778	1oe	powerorbs/orbofshadows_stacked						
779	mfp	potion/mfpot1						
780	xpp	potion/xppot1						
781	fsp	potion/firesunderpot						
782	csp	potion/coldsunderpot						
783	lsp	potion/lightningsunderpot						
784	psp	potion/poisonsunderpot						
785	msp	potion/magicsunderpot						
786	php	potion/physicalsunderpot						
787	mpa	quest/mephisto_animus						
788	blc	quest/baal_calamity						
789	dia	quest/diablo_ire						
790	rup	grabbers/rune_pliers						
791	jwp	grabbers/jewel_pliers						
792	dwd	potion/white_dye						
793	abd	potion/black_dye						
794	bdd	potion/blue_dye						
795	ird	potion/red_dye						
796	ngd	potion/green_dye						
797	cyd	potion/yellow_dye						
798	ryd	potion/purple_dye						
799	hod	potion/orange_dye						
800	drm	potion/dye_remover						
801	1gc	storage/gem_cluster						
802	oor	powerorbs/orbofrenewal						
803	1or	powerorbs/orbofrenewal_stacked						
804	civerbs_ward		shield/stormguild	shield/stormguild	shield/stormguild			
805	civerbs_icon		amulet/amulet	amulet/amulet	amulet/amulet			
806	civerbs_cudgel		scepter/grand_scepter	scepter/grand_scepter	scepter/grand_scepter			
807	hsarus_iron_heel		boot/chain_boots	boot/chain_boots	boot/chain_boots			
808	hsarus_iron_fist		shield/pelta_lunata	shield/pelta_lunata	shield/pelta_lunata			
809	hsarus_iron_stay		belt/belt_m	belt/belt_m	belt/belt_m			
810	cleglaws_tooth		sword/hellplague	sword/hellplague	sword/hellplague			
811	cleglaws_claw		shield/umbral_disk	shield/umbral_disk	shield/umbral_disk			
812	cleglaws_pincers		glove/bracers_m	glove/bracers_m	glove/bracers_m			
813	irathas_collar		amulet/amulet	amulet/amulet	amulet/amulet			
814	irathas_cuff		glove/light_gauntlets	glove/light_gauntlets	glove/light_gauntlets			
815	irathas_coil		helmet/crown	helmet/crown	helmet/crown			
816	irathas_cord		belt/heavy_belt	belt/heavy_belt	belt/heavy_belt			
817	isenharts_lightbrand		sword/griswolds_edge	sword/griswolds_edge	sword/griswolds_edge			
818	isenharts_parry		shield/the_ward	shield/the_ward	shield/the_ward			
819	isenharts_case		armor/isenharts_case	armor/isenharts_case	armor/isenharts_case			
820	isenharts_horns		helmet/isenharts_horns	helmet/isenharts_horns	helmet/isenharts_horns			
821	vidalas_barb		bow/long_battle_bow	bow/long_battle_bow	bow/long_battle_bow			
822	vidalas_fetlock		boot/light_plate_boots	boot/light_plate_boots	boot/light_plate_boots			
